Month,Sector,PE,ROE
2011-06,IMM,9.05,20.61
2011-06,INDUS,,
2011-06,INSUR,14.19,18.19
2011-06,MAIIND,,14.73
2011-06,MEDIA,16.3,23.66
2011-06,MEDSIZE,20.28,14.73
2011-06,MINE,16.12,-10.22
2011-06,PAPER,19.79,4.12
2011-06,PERSON,13.26,14.98
2011-06,PETRO,12.91,22.98
2011-06,PF&REIT,,
2011-06,PKG,6.34,33.77
2011-06,PROF,,-7.86
2011-06,PROP,15.62,10.86
2011-06,PROPCON,,
2011-06,RESOURC,,
2011-06,SERVICE,,
2011-06,STEEL,,-5.01
2011-06,TECH,,
2011-06,TOURISM,29.95,8.04
2011-06,TRANS,24.16,0.22
2011-07,AGRI,10.68,16.78
2011-07,AGRO,,
2011-07,AUTO,15.31,6.82
2011-07,BANK,14.51,15.16
2011-07,COMM,27.6,20.86
2011-07,CONMAT,12.09,26.0
2011-07,CONS,,
2011-07,CONSUMP,,
2011-07,ENERG,11.16,20.64
2011-07,ETRON,8.84,11.65
2011-07,FASHION,10.21,9.57
2011-07,FIN,8.95,13.43
2011-07,FINCIAL,,
2011-07,FOOD,18.43,20.92
2011-07,HELTH,24.33,18.85
2011-07,HOME,9.2,12.46
2011-07,ICT,23.17,19.24
2011-07,IMM,10.36,12.53
2011-07,INDUS,,
2011-07,INSUR,15.55,18.69
2011-07,MAIIND,,14.99
2011-07,MEDIA,18.51,24.61
2011-07,MEDSIZE,21.23,14.99
2011-07,MINE,16.8,-9.61
2011-07,PAPER,24.56,4.12
2011-07,PERSON,15.04,14.31
2011-07,PETRO,13.26,31.48
2011-07,PF&REIT,,
2011-07,PKG,7.08,30.41
2011-07,PROF,,-6.91
2011-07,PROP,18.26,11.68
2011-07,PROPCON,,
2011-07,RESOURC,,
2011-07,SERVICE,,
2011-07,STEEL,,-4.95
2011-07,TECH,,
2011-07,TOURISM,32.95,11.49
2011-07,TRANS,26.56,1.67
2011-08,AGRI,10.35,16.78
2011-08,AGRO,,
2011-08,AUTO,16.08,6.82
2011-08,BANK,12.55,15.16
2011-08,COMM,27.51,20.86
2011-08,CONMAT,10.59,26.0
2011-08,CONS,,
2011-08,CONSUMP,,
2011-08,ENERG,9.29,20.64
2011-08,ETRON,8.2,11.65
2011-08,FASHION,8.72,9.57
2011-08,FIN,8.37,13.43
2011-08,FINCIAL,,
2011-08,FOOD,17.3,20.92
2011-08,HELTH,21.04,18.85
2011-08,HOME,7.64,12.46
2011-08,ICT,21.14,19.24
2011-08,IMM,8.49,12.53
2011-08,INDUS,,
2011-08,INSUR,14.64,18.69
2011-08,MAIIND,,14.99
2011-08,MEDIA,17.46,24.61
2011-08,MEDSIZE,19.26,14.99
2011-08,MINE,26.76,-9.61
2011-08,PAPER,24.25,4.12
2011-08,PERSON,13.57,14.31
2011-08,PETRO,10.19,31.48
2011-08,PF&REIT,,
2011-08,PKG,5.36,30.41
2011-08,PROF,,-6.91
2011-08,PROP,16.57,11.68
2011-08,PROPCON,,
2011-08,RESOURC,,
2011-08,SERVICE,,
2011-08,STEEL,,-4.95
2011-08,TECH,,
2011-08,TOURISM,14.76,11.49
2011-08,TRANS,398.44,1.67
2011-09,AGRI,7.94,16.78
2011-09,AGRO,,
2011-09,AUTO,14.3,6.82
2011-09,BANK,10.8,15.16
2011-09,COMM,24.76,20.86
2011-09,CONMAT,8.71,26.0
